sha256,keep,delete,keep_split,delete_split,keep_class,delete_class,class_conflict,cross_split
f75f0cdc239ee8ed898542ea87493f1d3338481050d01b6685905b75428a6858,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.108.jpg,data/carbonate_1223/PPL-1223/train/class18/Siliceous.289.jpg,test,train,class1,class18,True,True
d41b933ad6e04201b93ee2f63faa711bc40f91a4021abfa609d35df66f07503c,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.115.jpg,data/carbonate_1223/PPL-1223/test/class19/Stromatolite.246.jpg,test,test,class1,class19,True,False
17e193c8f81edb990609b4676d863ec65ac7336f59feff58ddac00c096f4df1c,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.127.jpg,data/carbonate_1223/PPL-1223/test/class7/Finely_crystalline_dolomite.5.jpg,test,test,class1,class7,True,False
116729fa2c230425bb063f978421e0457e67db7bdd2576060c4154bc6cb89333,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.139.jpg,data/carbonate_1223/PPL-1223/val/class22/Vug.936.jpg,test,val,class1,class22,True,True
c929922a3f4e247add4e85ee9bbf3c448b39eaa57babaa51b6adb829225e5b91,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.157.jpg,data/carbonate_1223/PPL-1223/val/class22/Vug.944.jpg,test,val,class1,class22,True,True
c82cc5894dad31f35c75355cc93747d49636a82856790e833b9e81b9422f4da0,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.17.jpg,data/carbonate_1223/PPL-1223/val/class22/Vug.953.jpg,test,val,class1,class22,True,True
991d3734e0a3984806e5eff8ff47b3803efda124135ec24df3924ab6ca7c1a0d,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.231.jpg,data/carbonate_1223/PPL-1223/val/class21/Thrombotolite.73.jpg,test,val,class1,class21,True,True
920389fb66dc44e1cae8fb900dcdfda8d36ccbb12f5240d33820c7d0be66b981,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.234.jpg,data/carbonate_1223/PPL-1223/val/class21/Thrombotolite.75.jpg,test,val,class1,class21,True,True
f034c7f937359235204f34e7bb2f1becd0198e1547b6297f7bb8d04dc06d3b29,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.239.jpg,data/carbonate_1223/PPL-1223/test/class22/Vug.284.jpg,test,test,class1,class22,True,False
692678049265d27a822a41d60fbc5664215e8ad24f4172d2e0a78f8ad9bde869,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.240.jpg,data/carbonate_1223/PPL-1223/val/class21/Thrombotolite.87.jpg,test,val,class1,class21,True,True
2864bd07a41b20d39c4576ece4bf88608370ca08495d49500ac1a0f8841f7f50,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.242.jpg,data/carbonate_1223/PPL-1223/test/class22/Vug.285.jpg,test,test,class1,class22,True,True
2864bd07a41b20d39c4576ece4bf88608370ca08495d49500ac1a0f8841f7f50,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.242.jpg,data/carbonate_1223/PPL-1223/val/class21/Thrombotolite.89.jpg,test,val,class1,class21,True,True
8e7fe1a09360604173ecc6046ab32fba191a874af62bc5bf633611eb2dceb9d7,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.243.jpg,data/carbonate_1223/PPL-1223/test/class22/Vug.287.jpg,test,test,class1,class22,True,True
8e7fe1a09360604173ecc6046ab32fba191a874af62bc5bf633611eb2dceb9d7,data/carbonate_1223/PPL-1223/test/class1/Arenaceous.243.jpg,data/carbonate_1223/PPL-1223/val/class21/Thrombotolite.93.jpg,test,val,class1,class21,True,True
